Batch,Seed temperature (°C),Seed pH,Seed slot,Seed_id,,
745,26,6.85,64,F64.745,,
745,26,6.85,62,F62.745,,
745,26,6.85,61,F61.745,,
751,26,6.85,64,F64.751,,
751,24,6.85,61,F61.751,,
755,28,6.85,64,F64.755,,
755,24,7.2,63,F63.755,,
755,26,6.85,62,F62.755,,
755,26,7.2,61,F61.755,,
757,28,7.2,64,F64.757,,
757,28,6.85,63,F63.757,,
757,24,6.85,62,F62.757,,
757,24,7.2,61,F61.757,,
760,26,7.2,64,F64.760,,
760,28,6.85,63,F63.760,,
760,24,6.85,62,F62.760,,
760,28,7.2,61,F61.760,,
771,24,7.2,64,F64.771,,
771,24,6.85,63,F63.771,,
771,26,7.2,62,F62.771,,
771,28,7.2,61,F61.771,,
772,26,7.2,64,F64.772,,
772,28,6.85,63,F63.772,,
772,28,7.2,62,F62.772,,
772,26,6.85,61,F61.772,,
